"Offense category","Total offenses","Drugs/Narcotics","Percentage of Offense category","Alcohol","Percentage of Offense Category","Estado"
"Total","13166782","902482","6.90","450459","3.40","Alabama"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Alabama"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Alabama"
"Homicide Offenses","18785","894","4.80","1054","5.60","Alabama"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Alabama"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Alabama"
"Sex Offenses","204055","6819","3.30","13989","6.90","Alabama"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Alabama"
"Arson","30166","833","2.80","713","2.40","Alabama"
"Bribery","652","41","6.30","85","13.00","Alabama"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Alabama"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Alabama"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Alabama"
"Embezzlement","32481","256","0.80","90","0.30","Alabama"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Alabama"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Alabama"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Alabama"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Alabama"
"Robbery","149862","2725","1.80","2567","1.70","Alabama"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Alabama"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Alabama"
"Animal Cruelty","20512","220","1.10","361","1.80","Alabama"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Alabama"
"Gambling Offenses","2121","26","1.20","19","0.90","Alabama"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Alabama"
"Prostitution Offenses","13007","527","4.10","132","1.00","Alabama"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Alabama"
"Total","13166782","902482","6.90","450459","3.40","Alaska"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Alaska"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Alaska"
"Homicide Offenses","18785","894","4.80","1054","5.60","Alaska"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Alaska"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Alaska"
"Sex Offenses","204055","6819","3.30","13989","6.90","Alaska"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Alaska"
"Arson","30166","833","2.80","713","2.40","Alaska"
"Bribery","652","41","6.30","85","13.00","Alaska"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Alaska"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Alaska"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Alaska"
"Embezzlement","32481","256","0.80","90","0.30","Alaska"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Alaska"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Alaska"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Alaska"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Alaska"
"Robbery","149862","2725","1.80","2567","1.70","Alaska"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Alaska"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Alaska"
"Animal Cruelty","20512","220","1.10","361","1.80","Alaska"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Alaska"
"Gambling Offenses","2121","26","1.20","19","0.90","Alaska"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Alaska"
"Prostitution Offenses","13007","527","4.10","132","1.00","Alaska"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Alaska"
"Total","13166782","902482","6.90","450459","3.40","Arizona"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Arizona"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Arizona"
"Homicide Offenses","18785","894","4.80","1054","5.60","Arizona"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Arizona"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Arizona"
"Sex Offenses","204055","6819","3.30","13989","6.90","Arizona"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Arizona"
"Arson","30166","833","2.80","713","2.40","Arizona"
"Bribery","652","41","6.30","85","13.00","Arizona"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Arizona"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Arizona"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Arizona"
"Embezzlement","32481","256","0.80","90","0.30","Arizona"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Arizona"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Arizona"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Arizona"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Arizona"
"Robbery","149862","2725","1.80","2567","1.70","Arizona"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Arizona"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Arizona"
"Animal Cruelty","20512","220","1.10","361","1.80","Arizona"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Arizona"
"Gambling Offenses","2121","26","1.20","19","0.90","Arizona"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Arizona"
"Prostitution Offenses","13007","527","4.10","132","1.00","Arizona"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Arizona"
"Total","13166782","902482","6.90","450459","3.40","Arkansas"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Arkansas"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Arkansas"
"Homicide Offenses","18785","894","4.80","1054","5.60","Arkansas"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Arkansas"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Arkansas"
"Sex Offenses","204055","6819","3.30","13989","6.90","Arkansas"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Arkansas"
"Arson","30166","833","2.80","713","2.40","Arkansas"
"Bribery","652","41","6.30","85","13.00","Arkansas"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Arkansas"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Arkansas"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Arkansas"
"Embezzlement","32481","256","0.80","90","0.30","Arkansas"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Arkansas"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Arkansas"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Arkansas"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Arkansas"
"Robbery","149862","2725","1.80","2567","1.70","Arkansas"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Arkansas"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Arkansas"
"Animal Cruelty","20512","220","1.10","361","1.80","Arkansas"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Arkansas"
"Gambling Offenses","2121","26","1.20","19","0.90","Arkansas"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Arkansas"
"Prostitution Offenses","13007","527","4.10","132","1.00","Arkansas"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Arkansas"
"Total","13166782","902482","6.90","450459","3.40","California"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","California"
"Assault Offenses","3187575","78839","2.50","292031","9.20","California"
"Homicide Offenses","18785","894","4.80","1054","5.60","California"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","California"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","California"
"Sex Offenses","204055","6819","3.30","13989","6.90","California"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","California"
"Arson","30166","833","2.80","713","2.40","California"
"Bribery","652","41","6.30","85","13.00","California"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","California"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","California"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","California"
"Embezzlement","32481","256","0.80","90","0.30","California"
"Extortion/Blackmail","20298","60","0.30","56","0.30","California"
"Fraud Offenses","843491","7774","0.90","3929","0.50","California"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","California"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","California"
"Robbery","149862","2725","1.80","2567","1.70","California"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","California"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","California"
"Animal Cruelty","20512","220","1.10","361","1.80","California"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","California"
"Gambling Offenses","2121","26","1.20","19","0.90","California"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","California"
"Prostitution Offenses","13007","527","4.10","132","1.00","California"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","California"
"Total","13166782","902482","6.90","450459","3.40","Colorado"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Colorado"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Colorado"
"Homicide Offenses","18785","894","4.80","1054","5.60","Colorado"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Colorado"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Colorado"
"Sex Offenses","204055","6819","3.30","13989","6.90","Colorado"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Colorado"
"Arson","30166","833","2.80","713","2.40","Colorado"
"Bribery","652","41","6.30","85","13.00","Colorado"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Colorado"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Colorado"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Colorado"
"Embezzlement","32481","256","0.80","90","0.30","Colorado"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Colorado"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Colorado"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Colorado"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Colorado"
"Robbery","149862","2725","1.80","2567","1.70","Colorado"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Colorado"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Colorado"
"Animal Cruelty","20512","220","1.10","361","1.80","Colorado"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Colorado"
"Gambling Offenses","2121","26","1.20","19","0.90","Colorado"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Colorado"
"Prostitution Offenses","13007","527","4.10","132","1.00","Colorado"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Colorado"
"Total","13166782","902482","6.90","450459","3.40","Columbia"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Columbia"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Columbia"
"Homicide Offenses","18785","894","4.80","1054","5.60","Columbia"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Columbia"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Columbia"
"Sex Offenses","204055","6819","3.30","13989","6.90","Columbia"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Columbia"
"Arson","30166","833","2.80","713","2.40","Columbia"
"Bribery","652","41","6.30","85","13.00","Columbia"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Columbia"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Columbia"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Columbia"
"Embezzlement","32481","256","0.80","90","0.30","Columbia"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Columbia"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Columbia"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Columbia"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Columbia"
"Robbery","149862","2725","1.80","2567","1.70","Columbia"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Columbia"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Columbia"
"Animal Cruelty","20512","220","1.10","361","1.80","Columbia"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Columbia"
"Gambling Offenses","2121","26","1.20","19","0.90","Columbia"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Columbia"
"Prostitution Offenses","13007","527","4.10","132","1.00","Columbia"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Columbia"
"Total","13166782","902482","6.90","450459","3.40","Connecticut"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Connecticut"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Connecticut"
"Homicide Offenses","18785","894","4.80","1054","5.60","Connecticut"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Connecticut"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Connecticut"
"Sex Offenses","204055","6819","3.30","13989","6.90","Connecticut"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Connecticut"
"Arson","30166","833","2.80","713","2.40","Connecticut"
"Bribery","652","41","6.30","85","13.00","Connecticut"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Connecticut"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Connecticut"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Connecticut"
"Embezzlement","32481","256","0.80","90","0.30","Connecticut"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Connecticut"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Connecticut"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Connecticut"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Connecticut"
"Robbery","149862","2725","1.80","2567","1.70","Connecticut"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Connecticut"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Connecticut"
"Animal Cruelty","20512","220","1.10","361","1.80","Connecticut"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Connecticut"
"Gambling Offenses","2121","26","1.20","19","0.90","Connecticut"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Connecticut"
"Prostitution Offenses","13007","527","4.10","132","1.00","Connecticut"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Connecticut"
"Total","13166782","902482","6.90","450459","3.40","Delaware"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Delaware"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Delaware"
"Homicide Offenses","18785","894","4.80","1054","5.60","Delaware"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Delaware"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Delaware"
"Sex Offenses","204055","6819","3.30","13989","6.90","Delaware"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Delaware"
"Arson","30166","833","2.80","713","2.40","Delaware"
"Bribery","652","41","6.30","85","13.00","Delaware"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Delaware"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Delaware"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Delaware"
"Embezzlement","32481","256","0.80","90","0.30","Delaware"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Delaware"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Delaware"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Delaware"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Delaware"
"Robbery","149862","2725","1.80","2567","1.70","Delaware"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Delaware"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Delaware"
"Animal Cruelty","20512","220","1.10","361","1.80","Delaware"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Delaware"
"Gambling Offenses","2121","26","1.20","19","0.90","Delaware"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Delaware"
"Prostitution Offenses","13007","527","4.10","132","1.00","Delaware"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Delaware"
"Total","13166782","902482","6.90","450459","3.40","Florida"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Florida"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Florida"
"Homicide Offenses","18785","894","4.80","1054","5.60","Florida"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Florida"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Florida"
"Sex Offenses","204055","6819","3.30","13989","6.90","Florida"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Florida"
"Arson","30166","833","2.80","713","2.40","Florida"
"Bribery","652","41","6.30","85","13.00","Florida"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Florida"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Florida"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Florida"
"Embezzlement","32481","256","0.80","90","0.30","Florida"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Florida"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Florida"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Florida"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Florida"
"Robbery","149862","2725","1.80","2567","1.70","Florida"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Florida"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Florida"
"Animal Cruelty","20512","220","1.10","361","1.80","Florida"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Florida"
"Gambling Offenses","2121","26","1.20","19","0.90","Florida"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Florida"
"Prostitution Offenses","13007","527","4.10","132","1.00","Florida"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Florida"
"Total","13166782","902482","6.90","450459","3.40","Georgia"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Georgia"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Georgia"
"Homicide Offenses","18785","894","4.80","1054","5.60","Georgia"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Georgia"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Georgia"
"Sex Offenses","204055","6819","3.30","13989","6.90","Georgia"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Georgia"
"Arson","30166","833","2.80","713","2.40","Georgia"
"Bribery","652","41","6.30","85","13.00","Georgia"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Georgia"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Georgia"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Georgia"
"Embezzlement","32481","256","0.80","90","0.30","Georgia"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Georgia"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Georgia"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Georgia"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Georgia"
"Robbery","149862","2725","1.80","2567","1.70","Georgia"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Georgia"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Georgia"
"Animal Cruelty","20512","220","1.10","361","1.80","Georgia"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Georgia"
"Gambling Offenses","2121","26","1.20","19","0.90","Georgia"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Georgia"
"Prostitution Offenses","13007","527","4.10","132","1.00","Georgia"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Georgia"
"Total","13166782","902482","6.90","450459","3.40","Hawaii"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Hawaii"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Hawaii"
"Homicide Offenses","18785","894","4.80","1054","5.60","Hawaii"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Hawaii"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Hawaii"
"Sex Offenses","204055","6819","3.30","13989","6.90","Hawaii"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Hawaii"
"Arson","30166","833","2.80","713","2.40","Hawaii"
"Bribery","652","41","6.30","85","13.00","Hawaii"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Hawaii"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Hawaii"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Hawaii"
"Embezzlement","32481","256","0.80","90","0.30","Hawaii"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Hawaii"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Hawaii"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Hawaii"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Hawaii"
"Robbery","149862","2725","1.80","2567","1.70","Hawaii"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Hawaii"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Hawaii"
"Animal Cruelty","20512","220","1.10","361","1.80","Hawaii"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Hawaii"
"Gambling Offenses","2121","26","1.20","19","0.90","Hawaii"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Hawaii"
"Prostitution Offenses","13007","527","4.10","132","1.00","Hawaii"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Hawaii"
"Total","13166782","902482","6.90","450459","3.40","Idaho"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Idaho"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Idaho"
"Homicide Offenses","18785","894","4.80","1054","5.60","Idaho"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Idaho"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Idaho"
"Sex Offenses","204055","6819","3.30","13989","6.90","Idaho"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Idaho"
"Arson","30166","833","2.80","713","2.40","Idaho"
"Bribery","652","41","6.30","85","13.00","Idaho"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Idaho"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Idaho"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Idaho"
"Embezzlement","32481","256","0.80","90","0.30","Idaho"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Idaho"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Idaho"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Idaho"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Idaho"
"Robbery","149862","2725","1.80","2567","1.70","Idaho"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Idaho"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Idaho"
"Animal Cruelty","20512","220","1.10","361","1.80","Idaho"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Idaho"
"Gambling Offenses","2121","26","1.20","19","0.90","Idaho"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Idaho"
"Prostitution Offenses","13007","527","4.10","132","1.00","Idaho"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Idaho"
"Total","13166782","902482","6.90","450459","3.40","Illinois"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Illinois"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Illinois"
"Homicide Offenses","18785","894","4.80","1054","5.60","Illinois"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Illinois"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Illinois"
"Sex Offenses","204055","6819","3.30","13989","6.90","Illinois"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Illinois"
"Arson","30166","833","2.80","713","2.40","Illinois"
"Bribery","652","41","6.30","85","13.00","Illinois"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Illinois"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Illinois"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Illinois"
"Embezzlement","32481","256","0.80","90","0.30","Illinois"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Illinois"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Illinois"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Illinois"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Illinois"
"Robbery","149862","2725","1.80","2567","1.70","Illinois"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Illinois"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Illinois"
"Animal Cruelty","20512","220","1.10","361","1.80","Illinois"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Illinois"
"Gambling Offenses","2121","26","1.20","19","0.90","Illinois"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Illinois"
"Prostitution Offenses","13007","527","4.10","132","1.00","Illinois"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Illinois"
"Total","13166782","902482","6.90","450459","3.40","Idaho"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Idaho"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Idaho"
"Homicide Offenses","18785","894","4.80","1054","5.60","Idaho"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Idaho"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Idaho"
"Sex Offenses","204055","6819","3.30","13989","6.90","Idaho"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Idaho"
"Arson","30166","833","2.80","713","2.40","Idaho"
"Bribery","652","41","6.30","85","13.00","Idaho"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Idaho"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Idaho"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Idaho"
"Embezzlement","32481","256","0.80","90","0.30","Idaho"
"Extortion/Blackmail","20298","60","0.30","56","0.30","Idaho"
"Fraud Offenses","843491","7774","0.90","3929","0.50","Idaho"
"Larceny/Theft Offenses","3618452","26950","0.70","20163","0.60","Idaho"
"Motor Vehicle Theft","721157","5518","0.80","2714","0.40","Idaho"
"Robbery","149862","2725","1.80","2567","1.70","Idaho"
"Stolen Property Offenses","115445","9374","8.10","1498","1.30","Idaho"
"Crimes Against Society","1860969","731863","39.30","63551","3.40","Idaho"
"Animal Cruelty","20512","220","1.10","361","1.80","Idaho"
"Drug/Narcotic Offenses","1459460","697726","47.80","42274","2.90","Idaho"
"Gambling Offenses","2121","26","1.20","19","0.90","Idaho"
"Pornography/Obscene Material","39871","224","0.60","170","0.40","Idaho"
"Prostitution Offenses","13007","527","4.10","132","1.00","Idaho"
"Weapon Law Violations","325998","33140","10.20","20595","6.30","Idaho"
"Total","13166782","902482","6.90","450459","3.40","Iowa"
"Crimes Against Persons","3456189","89007","2.60","311308","9.00","Iowa"
"Assault Offenses","3187575","78839","2.50","292031","9.20","Iowa"
"Homicide Offenses","18785","894","4.80","1054","5.60","Iowa"
"Human Trafficking Offenses","2691","200","7.40","52","1.90","Iowa"
"Kidnapping/Abduction","43083","2255","5.20","4182","9.70","Iowa"
"Sex Offenses","204055","6819","3.30","13989","6.90","Iowa"
"Crimes Against Property","7849624","81612","1.00","75600","1.00","Iowa"
"Arson","30166","833","2.80","713","2.40","Iowa"
"Bribery","652","41","6.30","85","13.00","Iowa"
"Burglary/Breaking & Entering","672139","9093","1.40","6683","1.00","Iowa"
"Counterfeiting/Forgery","147573","2217","1.50","1214","0.80","Iowa"
"Destruction/Damage/Vandalism","1497908","16771","1.10","35888","2.40","Iowa"
"Embezzlement","32481","256","0.80","90","0.30","Iowa"
