Time of Day,Total Incidents,Animal Cruelty,Drug/Narcotic Offenses,Gambling Offenses,Pornography/Obscene Material,Prostitution Offenses,Weapon Law Violations,Estado
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,kansas
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,kentucky
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,kentucky
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,kentucky
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,kentucky
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,kentucky
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,kentucky
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,kentucky
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,kentucky
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,kentucky
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,kentucky
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,kentucky
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,kentucky
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,kentucky
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,kentucky
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,kentucky
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,kentucky
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,kentucky
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,kentucky
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,kentucky
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,kentucky
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,kentucky
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,kentucky
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,kentucky
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,kentucky
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,kentucky
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,kentucky
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,kentucky
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,kentucky
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,lousiana
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,lousiana
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,lousiana
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,lousiana
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,lousiana
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,lousiana
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,lousiana
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,lousiana
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,lousiana
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,lousiana
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,lousiana
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,lousiana
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,lousiana
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,lousiana
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,lousiana
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,lousiana
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,lousiana
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,lousiana
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,lousiana
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,lousiana
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,lousiana
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,lousiana
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,lousiana
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,lousiana
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,lousiana
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,lousiana
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,lousiana
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,lousiana
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,maine
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,maine
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,maine
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,maine
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,maine
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,maine
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,maine
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,maine
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,maine
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,maine
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,maine
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,maine
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,maine
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,maine
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,maine
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,maine
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,maine
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,maine
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,maine
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,maine
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,maine
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,maine
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,maine
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,maine
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,maine
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,maine
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,maine
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,maine
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,marianaislands
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,marianaislands
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,marianaislands
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,marianaislands
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,marianaislands
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,marianaislands
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,marianaislands
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,marianaislands
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,marianaislands
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,marianaislands
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,marianaislands
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,marianaislands
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,marianaislands
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,marianaislands
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,marianaislands
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,marianaislands
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,marianaislands
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,marianaislands
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,marianaislands
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,marianaislands
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,marianaislands
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,marianaislands
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,marianaislands
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,marianaislands
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,marianaislands
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,marianaislands
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,marianaislands
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,marianaislands
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,marylanda
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,marylanda
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,marylanda
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,marylanda
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,marylanda
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,marylanda
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,marylanda
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,marylanda
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,marylanda
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,marylanda
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,marylanda
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,marylanda
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,marylanda
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,marylanda
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,marylanda
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,marylanda
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,marylanda
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,marylanda
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,marylanda
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,marylanda
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,marylanda
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,marylanda
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,marylanda
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,marylanda
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,marylanda
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,marylanda
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,marylanda
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,marylanda
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,massachusets
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,massachusets
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,massachusets
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,massachusets
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,massachusets
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,massachusets
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,massachusets
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,massachusets
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,massachusets
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,massachusets
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,massachusets
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,massachusets
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,massachusets
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,massachusets
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,massachusets
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,massachusets
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,massachusets
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,massachusets
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,massachusets
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,massachusets
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,massachusets
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,massachusets
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,massachusets
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,massachusets
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,massachusets
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,massachusets
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,massachusets
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,massachusets
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,michigan
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,michigan
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,michigan
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,michigan
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,michigan
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,michigan
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,michigan
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,michigan
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,michigan
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,michigan
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,michigan
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,michigan
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,michigan
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,michigan
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,michigan
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,michigan
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,michigan
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,michigan
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,michigan
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,michigan
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,michigan
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,michigan
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,michigan
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,michigan
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,michigan
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,michigan
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,michigan
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,michigan
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,minessota
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,minessota
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,minessota
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,minessota
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,minessota
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,minessota
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,minessota
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,minessota
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,minessota
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,minessota
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,minessota
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,minessota
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,minessota
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,minessota
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,minessota
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,minessota
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,minessota
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,minessota
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,minessota
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,minessota
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,minessota
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,minessota
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,minessota
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,minessota
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,minessota
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,minessota
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,minessota
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,minessota
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,missisipi
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,missisipi
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,missisipi
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,missisipi
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,missisipi
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,missisipi
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,missisipi
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,missisipi
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,missisipi
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,missisipi
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,missisipi
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,missisipi
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,missisipi
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,missisipi
Total P.M. Hours,1101865.0,12361.0,866286.0,1343.0,20527.0,8949.0,192399.0,missisipi
Noon–12:59 p.m.,78127.0,1705.0,60389.0,157.0,3194.0,622.0,12060.0,missisipi
1 p.m.–1:59 p.m.,81059.0,1505.0,64039.0,110.0,2360.0,608.0,12437.0,missisipi
2 p.m.–2:59 p.m.,86785.0,1473.0,68766.0,175.0,2523.0,655.0,13193.0,missisipi
3 p.m.–3:59 p.m.,90228.0,1464.0,71633.0,133.0,2272.0,663.0,14063.0,missisipi
4 p.m.–4:59 p.m.,89370.0,1323.0,70578.0,126.0,1866.0,799.0,14678.0,missisipi
5 p.m.–5:59 p.m.,82812.0,1091.0,64695.0,106.0,1566.0,773.0,14581.0,missisipi
6 p.m.–6:59 p.m.,84230.0,1007.0,65601.0,132.0,1422.0,859.0,15209.0,missisipi
7 p.m.–7:59 p.m.,91365.0,826.0,71609.0,109.0,1229.0,783.0,16809.0,missisipi
8 p.m.–8:59 p.m.,97614.0,719.0,76348.0,86.0,1215.0,959.0,18287.0,missisipi
9 p.m.–9:59 p.m.,102770.0,525.0,80315.0,85.0,1129.0,760.0,19956.0,missisipi
 10 p.m.–10:59 p.m.,108871.0,401.0,85723.0,67.0,977.0,782.0,20921.0,missisipi
 11 p.m.–11:59 p.m.,108634.0,322.0,86590.0,57.0,774.0,686.0,20205.0,missisipi
Unknown Time of Day,25310.0,245.0,21134.0,98.0,774.0,64.0,2995.0,missisipi
Total,1860969.0,20512.0,1459460.0,2121.0,39871.0,13007.0,325998.0,missouri
Total A.M. Hours,733794.0,7906.0,572040.0,680.0,18570.0,3994.0,130604.0,missouri
Midnight–12:59 a.m.,158929.0,1346.0,121412.0,91.0,5768.0,1171.0,29141.0,missouri
1 a.m.–1:59 a.m.,87137.0,192.0,68528.0,47.0,551.0,553.0,17266.0,missouri
2 a.m.–2:59 a.m.,68955.0,140.0,53164.0,38.0,399.0,401.0,14813.0,missouri
3 a.m.–3:59 a.m.,45427.0,126.0,35081.0,18.0,354.0,173.0,9675.0,missouri
4 a.m.–4:59 a.m.,27826.0,105.0,21073.0,16.0,255.0,76.0,6301.0,missouri
5 a.m.–5:59 a.m.,19706.0,138.0,14688.0,15.0,316.0,54.0,4495.0,missouri
6 a.m.–6:59 a.m.,23144.0,209.0,17767.0,17.0,502.0,71.0,4578.0,missouri
7 a.m.–7:59 a.m.,36493.0,458.0,29168.0,28.0,960.0,104.0,5775.0,missouri
8 a.m.–8:59 a.m.,55283.0,1078.0,43340.0,53.0,2589.0,157.0,8066.0,missouri
9 a.m.–9:59 a.m.,63761.0,1209.0,50792.0,72.0,2354.0,237.0,9097.0,missouri
 10 a.m.–10:59 a.m.,72514.0,1425.0,57904.0,137.0,2370.0,451.0,10227.0,missouri
 11 a.m.–11:59 a.m.,74619.0,1480.0,59123.0,148.0,2152.0,546.0,11170.0,missouri
