"Offense Category","Incidents","Offenses","Victims","Known offenders","estado"
"Arson","30166","30166","36637","21249","Virgin Islands"
"Bribery","652","652","695","656","Virgin Islands"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Virgin Islands"
"Counterfeiting/Forgery","147573","147573","161913","109595","Virgin Islands"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Virgin Islands"
"Embezzlement","32481","32481","34284","32730","Virgin Islands"
"Extortion/Blackmail","20298","20298","20897","9451","Virgin Islands"
"Fraud Offenses","843491","843491","915256","428944","Virgin Islands"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Virgin Islands"
"Motor Vehicle Theft","721157","721157","753345","346525","Virgin Islands"
"Robbery","149862","149862","197705","195201","Virgin Islands"
"Stolen Property Offenses","115445","115445","135134","134677","Virgin Islands"
"Crimes Against Society","1860969","1860969","1861007","2179366","Virgin Islands"
"Animal Cruelty","20512","20512","20513","18864","Virgin Islands"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Virgin Islands"
"Gambling Offenses","2121","2121","2121","3215","Virgin Islands"
"Pornography/Obscene Material","39871","39871","39872","32925","Virgin Islands"
"Prostitution Offenses","13007","13007","13007","14945","Virgin Islands"
"Weapon Law Violations","325998","325998","326022","353629","Virgin Islands"
"Total","11195659","13166782","13834692","9873871","Washington"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Washington"
"Assault Offenses","2737786","3187575","3187575","2918676","Washington"
"Homicide Offenses","17189","18785","18786","19274","Washington"
"Human Trafficking Offenses","2234","2691","2691","2428","Washington"
"Kidnapping/Abduction","39098","43083","43083","43012","Washington"
"Sex Offenses","192147","204055","204055","186462","Washington"
"Crimes Against Property","7849624","7849624","8517495","4524653","Washington"
"Arson","30166","30166","36637","21249","Washington"
"Bribery","652","652","695","656","Washington"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Washington"
"Counterfeiting/Forgery","147573","147573","161913","109595","Washington"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Washington"
"Embezzlement","32481","32481","34284","32730","Washington"
"Extortion/Blackmail","20298","20298","20897","9451","Washington"
"Fraud Offenses","843491","843491","915256","428944","Washington"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Washington"
"Motor Vehicle Theft","721157","721157","753345","346525","Washington"
"Robbery","149862","149862","197705","195201","Washington"
"Stolen Property Offenses","115445","115445","135134","134677","Washington"
"Crimes Against Society","1860969","1860969","1861007","2179366","Washington"
"Animal Cruelty","20512","20512","20513","18864","Washington"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Washington"
"Gambling Offenses","2121","2121","2121","3215","Washington"
"Pornography/Obscene Material","39871","39871","39872","32925","Washington"
"Prostitution Offenses","13007","13007","13007","14945","Washington"
"Weapon Law Violations","325998","325998","326022","353629","Washington"
"Total","11195659","13166782","13834692","9873871","West Virginia"
"Crimes Against Persons","2988454","3456189","3456190","3169852","West Virginia"
"Assault Offenses","2737786","3187575","3187575","2918676","West Virginia"
"Homicide Offenses","17189","18785","18786","19274","West Virginia"
"Human Trafficking Offenses","2234","2691","2691","2428","West Virginia"
"Kidnapping/Abduction","39098","43083","43083","43012","West Virginia"
"Sex Offenses","192147","204055","204055","186462","West Virginia"
"Crimes Against Property","7849624","7849624","8517495","4524653","West Virginia"
"Arson","30166","30166","36637","21249","West Virginia"
"Bribery","652","652","695","656","West Virginia"
"Burglary/Breaking & Entering","672139","672139","781093","407560","West Virginia"
"Counterfeiting/Forgery","147573","147573","161913","109595","West Virginia"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","West Virginia"
"Embezzlement","32481","32481","34284","32730","West Virginia"
"Extortion/Blackmail","20298","20298","20897","9451","West Virginia"
"Fraud Offenses","843491","843491","915256","428944","West Virginia"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","West Virginia"
"Motor Vehicle Theft","721157","721157","753345","346525","West Virginia"
"Robbery","149862","149862","197705","195201","West Virginia"
"Stolen Property Offenses","115445","115445","135134","134677","West Virginia"
"Crimes Against Society","1860969","1860969","1861007","2179366","West Virginia"
"Animal Cruelty","20512","20512","20513","18864","West Virginia"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","West Virginia"
"Gambling Offenses","2121","2121","2121","3215","West Virginia"
"Pornography/Obscene Material","39871","39871","39872","32925","West Virginia"
"Prostitution Offenses","13007","13007","13007","14945","West Virginia"
"Weapon Law Violations","325998","325998","326022","353629","West Virginia"
"Total","11195659","13166782","13834692","9873871","Wisconsin"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Wisconsin"
"Assault Offenses","2737786","3187575","3187575","2918676","Wisconsin"
"Homicide Offenses","17189","18785","18786","19274","Wisconsin"
"Human Trafficking Offenses","2234","2691","2691","2428","Wisconsin"
"Kidnapping/Abduction","39098","43083","43083","43012","Wisconsin"
"Sex Offenses","192147","204055","204055","186462","Wisconsin"
"Crimes Against Property","7849624","7849624","8517495","4524653","Wisconsin"
"Arson","30166","30166","36637","21249","Wisconsin"
"Bribery","652","652","695","656","Wisconsin"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Wisconsin"
"Counterfeiting/Forgery","147573","147573","161913","109595","Wisconsin"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Wisconsin"
"Embezzlement","32481","32481","34284","32730","Wisconsin"
"Extortion/Blackmail","20298","20298","20897","9451","Wisconsin"
"Fraud Offenses","843491","843491","915256","428944","Wisconsin"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Wisconsin"
"Motor Vehicle Theft","721157","721157","753345","346525","Wisconsin"
"Robbery","149862","149862","197705","195201","Wisconsin"
"Stolen Property Offenses","115445","115445","135134","134677","Wisconsin"
"Crimes Against Society","1860969","1860969","1861007","2179366","Wisconsin"
"Animal Cruelty","20512","20512","20513","18864","Wisconsin"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Wisconsin"
"Gambling Offenses","2121","2121","2121","3215","Wisconsin"
"Pornography/Obscene Material","39871","39871","39872","32925","Wisconsin"
"Prostitution Offenses","13007","13007","13007","14945","Wisconsin"
"Weapon Law Violations","325998","325998","326022","353629","Wisconsin"
"Total","11195659","13166782","13834692","9873871","Wyoming"
"Crimes Against Persons","2988454","3456189","3456190","3169852","Wyoming"
"Assault Offenses","2737786","3187575","3187575","2918676","Wyoming"
"Homicide Offenses","17189","18785","18786","19274","Wyoming"
"Human Trafficking Offenses","2234","2691","2691","2428","Wyoming"
"Kidnapping/Abduction","39098","43083","43083","43012","Wyoming"
"Sex Offenses","192147","204055","204055","186462","Wyoming"
"Crimes Against Property","7849624","7849624","8517495","4524653","Wyoming"
"Arson","30166","30166","36637","21249","Wyoming"
"Bribery","652","652","695","656","Wyoming"
"Burglary/Breaking & Entering","672139","672139","781093","407560","Wyoming"
"Counterfeiting/Forgery","147573","147573","161913","109595","Wyoming"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","Wyoming"
"Embezzlement","32481","32481","34284","32730","Wyoming"
"Extortion/Blackmail","20298","20298","20897","9451","Wyoming"
"Fraud Offenses","843491","843491","915256","428944","Wyoming"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","Wyoming"
"Motor Vehicle Theft","721157","721157","753345","346525","Wyoming"
"Robbery","149862","149862","197705","195201","Wyoming"
"Stolen Property Offenses","115445","115445","135134","134677","Wyoming"
"Crimes Against Society","1860969","1860969","1861007","2179366","Wyoming"
"Animal Cruelty","20512","20512","20513","18864","Wyoming"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","Wyoming"
"Gambling Offenses","2121","2121","2121","3215","Wyoming"
"Pornography/Obscene Material","39871","39871","39872","32925","Wyoming"
"Prostitution Offenses","13007","13007","13007","14945","Wyoming"
"Weapon Law Violations","325998","325998","326022","353629","Wyoming"
"Total","11195659","13166782","13834692","9873871","New Mexico"
"Crimes Against Persons","2988454","3456189","3456190","3169852","New Mexico"
"Assault Offenses","2737786","3187575","3187575","2918676","New Mexico"
"Homicide Offenses","17189","18785","18786","19274","New Mexico"
"Human Trafficking Offenses","2234","2691","2691","2428","New Mexico"
"Kidnapping/Abduction","39098","43083","43083","43012","New Mexico"
"Sex Offenses","192147","204055","204055","186462","New Mexico"
"Crimes Against Property","7849624","7849624","8517495","4524653","New Mexico"
"Arson","30166","30166","36637","21249","New Mexico"
"Bribery","652","652","695","656","New Mexico"
"Burglary/Breaking & Entering","672139","672139","781093","407560","New Mexico"
"Counterfeiting/Forgery","147573","147573","161913","109595","New Mexico"
"Destruction/Damage/Vandalism","1497908","1497908","1627386","859080","New Mexico"
"Embezzlement","32481","32481","34284","32730","New Mexico"
"Extortion/Blackmail","20298","20298","20897","9451","New Mexico"
"Fraud Offenses","843491","843491","915256","428944","New Mexico"
"Larceny/Theft Offenses","3618452","3618452","3853150","1978985","New Mexico"
"Motor Vehicle Theft","721157","721157","753345","346525","New Mexico"
"Robbery","149862","149862","197705","195201","New Mexico"
"Stolen Property Offenses","115445","115445","135134","134677","New Mexico"
"Crimes Against Society","1860969","1860969","1861007","2179366","New Mexico"
"Animal Cruelty","20512","20512","20513","18864","New Mexico"
"Drug/Narcotic Offenses","1459460","1459460","1459472","1755788","New Mexico"
"Gambling Offenses","2121","2121","2121","3215","New Mexico"
"Pornography/Obscene Material","39871","39871","39872","32925","New Mexico"
"Prostitution Offenses","13007","13007","13007","14945","New Mexico"
"Weapon Law Violations","325998","325998","326022","353629","New Mexico"
