Time of Day,Total Incidents,Assault Offenses,Homicide Offenses,Human Trafficking Offenses,Kidnapping/Abduction,Sex Offenses,Estado
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,lousiana
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,lousiana
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,lousiana
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,lousiana
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,maine
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,maine
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,maine
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,maine
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,maine
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,maine
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,maine
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,maine
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,maine
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,maine
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,maine
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,maine
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,maine
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,maine
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,maine
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,maine
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,maine
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,maine
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,maine
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,maine
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,maine
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,maine
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,maine
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,maine
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,maine
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,maine
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,maine
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,maine
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,marianaislands
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,marianaislands
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,marianaislands
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,marianaislands
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,marianaislands
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,marianaislands
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,marianaislands
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,marianaislands
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,marianaislands
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,marianaislands
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,marianaislands
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,marianaislands
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,marianaislands
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,marianaislands
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,marianaislands
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,marianaislands
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,marianaislands
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,marianaislands
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,marianaislands
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,marianaislands
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,marianaislands
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,marianaislands
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,marianaislands
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,marianaislands
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,marianaislands
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,marianaislands
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,marianaislands
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,marianaislands
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,marylanda
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,marylanda
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,marylanda
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,marylanda
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,marylanda
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,marylanda
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,marylanda
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,marylanda
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,marylanda
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,marylanda
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,marylanda
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,marylanda
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,marylanda
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,marylanda
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,marylanda
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,marylanda
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,marylanda
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,marylanda
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,marylanda
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,marylanda
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,marylanda
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,marylanda
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,marylanda
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,marylanda
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,marylanda
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,marylanda
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,marylanda
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,marylanda
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,massachusets
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,massachusets
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,massachusets
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,massachusets
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,massachusets
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,massachusets
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,massachusets
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,massachusets
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,massachusets
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,massachusets
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,massachusets
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,massachusets
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,massachusets
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,massachusets
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,massachusets
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,massachusets
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,massachusets
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,massachusets
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,massachusets
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,massachusets
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,massachusets
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,massachusets
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,massachusets
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,massachusets
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,massachusets
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,massachusets
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,massachusets
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,massachusets
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,michigan
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,michigan
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,michigan
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,michigan
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,michigan
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,michigan
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,michigan
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,michigan
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,michigan
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,michigan
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,michigan
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,michigan
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,michigan
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,michigan
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,michigan
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,michigan
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,michigan
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,michigan
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,michigan
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,michigan
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,michigan
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,michigan
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,michigan
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,michigan
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,michigan
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,michigan
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,michigan
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,michigan
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,minessota
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,minessota
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,minessota
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,minessota
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,minessota
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,minessota
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,minessota
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,minessota
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,minessota
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,minessota
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,minessota
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,minessota
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,minessota
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,minessota
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,minessota
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,minessota
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,minessota
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,minessota
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,minessota
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,minessota
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,minessota
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,minessota
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,minessota
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,minessota
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,minessota
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,minessota
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,minessota
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,minessota
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,missisipi
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,missisipi
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,missisipi
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,missisipi
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,missisipi
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,missisipi
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,missisipi
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,missisipi
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,missisipi
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,missisipi
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,missisipi
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,missisipi
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,missisipi
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,missisipi
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,missisipi
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,missisipi
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,missisipi
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,missisipi
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,missisipi
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,missisipi
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,missisipi
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,missisipi
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,missisipi
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,missisipi
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,missisipi
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,missisipi
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,missisipi
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,missisipi
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,missouri
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,missouri
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,missouri
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,missouri
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,missouri
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,missouri
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,missouri
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,missouri
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,missouri
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,missouri
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,missouri
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,missouri
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,missouri
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,missouri
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,missouri
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,missouri
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,missouri
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,missouri
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,missouri
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,missouri
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,missouri
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,missouri
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,missouri
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,missouri
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,missouri
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,missouri
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,missouri
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,missouri
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,montana
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,montana
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,montana
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,montana
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,montana
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,montana
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,montana
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,montana
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,montana
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,montana
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,montana
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,montana
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,montana
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,montana
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,montana
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,montana
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,montana
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,montana
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,montana
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,montana
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,montana
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,montana
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,montana
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,montana
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,montana
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,montana
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,montana
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,montana
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,nebraska
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,nebraska
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,nebraska
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,nebraska
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,nebraska
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,nebraska
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,nebraska
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,nebraska
6 a.m.–6:59 a.m.,44740.0,41223.0,345.0,24.0,709.0,2439.0,nebraska
7 a.m.–7:59 a.m.,64495.0,59657.0,334.0,26.0,864.0,3614.0,nebraska
8 a.m.–8:59 a.m.,97916.0,87432.0,394.0,120.0,1317.0,8653.0,nebraska
9 a.m.–9:59 a.m.,102572.0,93105.0,407.0,99.0,1299.0,7662.0,nebraska
 10 a.m.–10:59 a.m.,115806.0,105014.0,485.0,117.0,1403.0,8787.0,nebraska
 11 a.m.–11:59 a.m.,123830.0,113017.0,510.0,111.0,1514.0,8678.0,nebraska
Total P.M. Hours,1826793.0,1688960.0,9722.0,1178.0,23363.0,103570.0,nebraska
Noon–12:59 p.m.,150085.0,134173.0,574.0,160.0,1802.0,13376.0,nebraska
1 p.m.–1:59 p.m.,132060.0,120217.0,566.0,125.0,1531.0,9621.0,nebraska
2 p.m.–2:59 p.m.,141487.0,129147.0,642.0,130.0,1629.0,9939.0,nebraska
3 p.m.–3:59 p.m.,155974.0,142870.0,643.0,108.0,1950.0,10403.0,nebraska
4 p.m.–4:59 p.m.,156115.0,144136.0,688.0,113.0,1945.0,9233.0,nebraska
5 p.m.–5:59 p.m.,157724.0,146510.0,737.0,101.0,2095.0,8281.0,nebraska
6 p.m.–6:59 p.m.,161399.0,150152.0,841.0,101.0,2368.0,7937.0,nebraska
7 p.m.–7:59 p.m.,161129.0,151139.0,919.0,78.0,1954.0,7039.0,nebraska
8 p.m.–8:59 p.m.,164597.0,153946.0,1021.0,80.0,2024.0,7526.0,nebraska
9 p.m.–9:59 p.m.,159596.0,149457.0,1073.0,81.0,2063.0,6922.0,nebraska
 10 p.m.–10:59 p.m.,151877.0,141831.0,989.0,59.0,2086.0,6912.0,nebraska
 11 p.m.–11:59 p.m.,134750.0,125382.0,1029.0,42.0,1916.0,6381.0,nebraska
Unknown Time of Day,29267.0,23460.0,188.0,35.0,393.0,5191.0,nebraska
Total,2988454.0,2737786.0,17189.0,2234.0,39098.0,192147.0,nevada
Total A.M. Hours,1132394.0,1025366.0,7279.0,1021.0,15342.0,83386.0,nevada
Midnight–12:59 a.m.,236073.0,205981.0,1637.0,359.0,2899.0,25197.0,nevada
1 a.m.–1:59 a.m.,103834.0,96320.0,931.0,41.0,1512.0,5030.0,nevada
2 a.m.–2:59 a.m.,86737.0,80049.0,822.0,32.0,1282.0,4552.0,nevada
3 a.m.–3:59 a.m.,64945.0,59620.0,591.0,42.0,1033.0,3659.0,nevada
4 a.m.–4:59 a.m.,49015.0,44946.0,462.0,27.0,829.0,2751.0,nevada
5 a.m.–5:59 a.m.,42431.0,39002.0,361.0,23.0,681.0,2364.0,nevada
